	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ABCB8	10.1473884058972	10.1382606359029	10.0125551413679	10.0306451773903	9.61839541594928	10.0393532221132	9.96488369540942	10.0663351894393
ABCB9	7.79527660880913	7.72557442987098	7.64313538565725	7.57126606619613	7.2084938058091	7.71067864837781	7.82298330803742	7.94091350395664
ABCC1	10.8612223271425	10.9334784432419	10.8232926769244	10.8365290610536	10.7756988081064	10.7723448689424	10.8073960921674	10.8536958392573
ABCC10	9.19423183855862	9.26394570781288	9.17839472190573	9.1869454698501	8.99595057628703	9.17575719169849	9.15823636139467	9.1965785485086
ABCC11	4.28793218742208	3.89734953357185	3.56301579541056	3.54950071307861	4.38494253631785	4.16414108297517	3.9583321963669	3.54824610137972
ABCC12	1.5446504302868	0	0.873591161997045	0	0	0.919108427306555	1.02778590416034	0
ABCC13	0	0	0	0.920206440533657	0	0	0	0
ABCC2	6.92827585267652	6.8372829076672	6.18131622289169	6.08595474867433	6.15765712662059	6.78903016703603	6.56224775959395	6.68138351636978
ABCC3	1.83043583819643	1.04915498583224	1.80597503705566	0.920206440533657	2.0216395901114	1.4760667690282	2.04148071851021	1.87759261098564
ABCC4	9.30915626502248	9.40488172954815	9.33903353698781	9.29746608778254	9.39068171976513	9.40159917213927	9.46859548956288	9.49814256547869
ABCC5	11.2529537104954	11.2025562922904	10.9025779862212	10.7768759827857	10.7919772245966	10.9845046480315	10.9460425046738	10.8713120430163
ABCC6	6.31489012846076	6.45310126691991	6.60788194176527	6.69521989903747	6.83588172423395	6.00578599724419	6.16278824936738	6.5225716048605
ABCC6P1	4.58544360018641	4.41393465285598	4.99059485559641	5.19752898934738	5.0502719982362	4.09060230828919	4.37427182939379	4.48522779776201
ABCC6P2	2.0688620816702	2.89062270869652	3.56301579541056	3.17496155481668	3.72702729993833	2.44750824261155	2.3661322452885	2.94233327642699
ABCC8	5.41082377689726	5.73867476732878	6.02415975764609	5.9044234053693	6.35934410005826	6.04524818531524	5.41128084620326	6.22017279141367
ABCC9	1.1879086418442	2.66598102429364	2.58335250651618	3.17496155481668	1.33926565560582	0.919108427306555	2.63097942038722	2.32536356564879
ABCD1	8.04610811186121	7.97280914560429	7.66104234424138	8.04578089056111	7.39055178874307	7.8341000908763	8.02637511533888	7.85185385049314
ABCD2	4.33437786064745	4.26141021302255	5.92883682522767	5.83845570965898	5.72867286654769	5.53724212215671	5.41128084620326	5.90307449266138
ABCD3	11.6535086141868	11.5920132148079	11.3794312091973	11.3593609366804	11.6802726164333	11.6371873768163	11.6493538922131	11.5752541680095
ABCD4	10.25693964685	10.2488928764414	10.1488745385628	10.1790595268346	10.0580412115187	10.249281492528	10.2034757516445	10.3629409978061
ABCE1	12.2598201745463	12.1607374565277	11.8301671675855	11.7848810417506	12.0218895631062	12.0523134092435	12.0905203416214	11.9675493447993
ABCF1	12.7476051342986	12.6954255495794	12.3230924782575	12.3368606680096	12.2121003514134	12.6319070443974	12.5506426348046	12.5791223744337
ABCF2	12.1541418926881	12.0667727969029	11.4119608282432	11.3676674165311	11.33796213071	11.9032369267531	11.8603724935744	11.7996551272141
ABCF3	10.302918413122	10.1355203048596	9.78787528894651	9.81747924169662	9.74984667897164	9.93554679900475	9.81154063807074	9.92265498769977
ABCG1	5.61274594471149	5.34215454219028	7.29881392703867	7.14971661820358	7.28125981467255	6.82348493596538	6.93723202241322	6.90713477252954
ABCG2	7.42326470184255	7.49701616658512	7.43687078788458	7.40651086960991	7.70812234138116	7.93208687944726	8.12630832458588	7.97964636193846
ABCG4	6.63550963367471	6.90320988567822	7.21239993220433	7.48046569611086	7.37733457492056	6.90081687162806	7.2930937700598	7.17084478209118
ABCG5	0.712913768754427	0	1.41383017209649	1.4775592782179	0	1.4760667690282	2.63097942038722	1.87759261098564
ABCG8	0	1.04915498583224	1.80597503705566	2.44941090727856	1.33926565560582	0.919108427306555	1.62189271010242	1.22484716351885
ABHD1	4.62334693462295	5.34215454219028	6.0784697813591	5.92575893805412	5.64290942828478	5.22992625947525	5.00749976134232	5.61891541990137
ABHD10	11.1963182650443	11.199935514979	10.975348673817	10.939106773013	11.1908453885399	11.0825964573959	11.0987320341694	10.9803776596035
ABHD11	8.68632027723043	8.6963620046697	8.91544386968231	9.1260366242992	8.95650070118451	9.1051591976797	8.98271381069641	9.09792285379934
ABHD11-AS1	1.1879086418442	1.65013722138078	1.41383017209649	0	0	1.4760667690282	0	3.17374168667653
ABHD12	10.3174430570606	10.0923657671034	9.78379488784765	9.82743262272485	9.73178545391073	9.85733443279843	9.78799860998762	9.80895710708939
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	9.03461220187369	9.08519079486954	9.49525700738053	9.41339641443364	9.53752729922287	9.15786646553924	9.17648330451331	8.96525172801962
ABHD14A	6.87428359528926	6.36226168382989	6.72600648628299	6.93504131154499	6.24756722599492	6.80060675967384	6.49736931573286	6.82443408840573
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	8.67056685006758	8.85469743092644	9.31661362913413	9.55704519372726	9.15155813365367	8.52383593955227	8.4978350428679	8.63727746113404
ABHD15	8.81677348549165	8.90383637094593	8.90044694647793	9.0009498761718	8.92050496402444	8.87540465152278	8.748403249097	8.81056457478193
ABHD16A	9.11330258117837	9.00338596330221	8.82567939300933	8.7960911265284	8.7566344990664	8.82811010354624	8.73439511822163	8.73106875791374
ABHD16B	0.712913768754427	1.65013722138078	1.41383017209649	0.920206440533657	0	1.4760667690282	1.62189271010242	1.22484716351885
ABHD2	11.153649148864	11.1660964651264	11.0655030529747	10.9721675144647	11.0850668866829	10.9621281358366	10.9475611610958	10.9049060895171
ABHD3	9.41964217702442	9.45629742421968	9.26290445581539	9.29131491521422	9.52559558969812	9.47568314393096	9.51644959157498	9.43543618962079
ABHD4	8.99720988848821	8.87783736635185	8.97391959936571	8.91554621753963	8.68870669685232	8.83093547018939	8.71669149002686	8.79327352526819
ABHD5	10.2063287701926	9.93105883026146	9.72116213730038	9.7032048844935	9.8937106098059	9.86424640497185	9.80149820053745	9.80680462651458
ABHD6	7.87991295193103	7.81734610862007	8.11094863282125	8.12169961431708	8.03709920726433	7.90015840919301	7.77588995128986	7.83505350040363
ABHD8	8.98815980873304	8.96993490986987	8.95226799981206	9.22831617956705	8.89754285310683	9.12371136576592	9.22987899287668	9.22909152531837
ABI1	10.8532696433243	10.7822582726684	10.5009009278361	10.4760938264562	10.5732436958977	10.5270040449558	10.5010574454753	10.3318423698547
ABI2	11.7498242925845	11.8389723551801	11.9696118266391	11.9407056850689	12.006948365124	12.0444233800472	12.0652120666655	12.0707176628915
ABI3	2.45253710580008	0	1.80597503705566	2.19205028328075	2.0216395901114	1.4760667690282	1.02778590416034	1.87759261098564
ABI3BP	4.62334693462295	4.79352847084382	5.5980204989211	5.79273954217952	6.35934410005826	5.0859775750981	4.63775709064679	5.21363056646083
ABL1	11.6105141738531	11.5458054136142	11.2713785301636	11.3115344034811	11.2382225855376	11.4559759158344	11.4979708516336	11.4865953457225
ABL2	10.4688994322279	10.5743828988716	11.2334845287915	11.0489173884454	11.2002584761048	10.3909913315205	10.4885931439634	10.5051319828977
ABLIM1	11.2289530948199	11.2889430644244	11.3144443718836	11.2578680538464	11.3388147100321	11.6254370751155	11.5849470189263	11.6046692342493
ABLIM2	5.25052400024698	5.26401506301609	5.82676723972533	5.86078177949209	5.11540573190438	5.39175163238885	5.26303965784162	5.16067735508346
ABLIM3	5.93254446187217	6.0020212817165	7.00370738707172	7.24615385038191	6.75643285247701	6.26172710890191	6.42943531984808	6.5225716048605
ABO	0.712913768754427	1.65013722138078	0.873591161997045	1.4775592782179	0	2.19023094704973	1.62189271010242	1.87759261098564
ABP1	1.1879086418442	0	1.80597503705566	0.920206440533657	1.33926565560582	0	1.62189271010242	1.87759261098564
ABR	11.0250450881419	11.0005232510869	10.7795652156203	10.7449734024351	10.6328528073395	11.022692915154	10.9498361525217	11.0871054230469
ABRA	0	0	0	0	0	0	0	0
ABT1	11.1998503742451	11.1437699311006	10.6791609364641	10.7230523557288	10.4835742985664	10.9653461078682	10.931534973646	10.8897329719716
