gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPTLC2	1987.04919854083	0.251804542958056	0.0599777690996793	4.19829791500868	2.68928690754381e-05	0.000236271980591144
SATB1	1382.08510019803	0.279394517393613	0.0665610207241089	4.19756960386298	2.69794750431351e-05	0.000236899257467258
ZNF430	834.218901448543	0.364093305894896	0.0867489899028307	4.19708986009778	2.70366678299085e-05	0.000237267704105062
LRRC37B	368.56183512187	0.488048118663962	0.116286100443168	4.19696005630942	2.70521622300606e-05	0.000237270006226157
ARL3	793.146775169462	-0.342413812359224	0.0816125848846091	-4.19560062756692	2.72149424096855e-05	0.000238563397814109
SYNJ2	1162.59049372249	0.291020362770353	0.0693761395040398	4.1948192109105	2.7308931593886e-05	0.000239252658851497
RAB10	3254.89469876953	-0.240208825664543	0.0572744730901744	-4.19399450932271	2.74084618372714e-05	0.000239989662753893
BAZ2A	6515.23738980035	0.227365946764079	0.0542145675917358	4.19381647523713	2.74299933448923e-05	0.000240043261985049
LRRK1	203.803730785481	-0.64818341179415	0.154579570242973	-4.19320231499747	2.75043936121701e-05	0.000240559202300266
LMAN2L	882.767282315583	0.338184557992859	0.0806793394331619	4.19171203394675	2.76857269324559e-05	0.000242009297658174
ACHE	88.3289273993494	0.989877273651728	0.236235905560443	4.19020669742542	2.78700457647496e-05	0.000243483849061977
SMARCD2	2328.99806759035	0.24906861478253	0.0594600463195459	4.18883990510205	2.80384107867735e-05	0.000244817446651105
PLEKHG2	1524.55645640439	-0.324945435553186	0.0776110215405307	-4.18684652132159	2.82856954463896e-05	0.000246838250962695
UBE2K	6329.31016414653	-0.272417323234508	0.0650836443385518	-4.18564949770558	2.84351843473514e-05	0.000248003844668921
KPNA4	2685.60261501319	0.286474955939908	0.0684803273696301	4.18331755912362	2.87285652217342e-05	0.000250422417716259
S1PR2	351.133857333517	-0.466715747033591	0.11160451157313	-4.18187168650232	2.89119130009422e-05	0.000251879680545681
EXOSC7	995.407011835544	0.324984821011417	0.0777210243795656	4.18142740147493	2.89684748050093e-05	0.000252231376208848
ADIPOR1	3280.73889159089	-0.229489447699241	0.0548872083302528	-4.18110985565922	2.90089659145641e-05	0.000252442827961545
SPTB	524.058481395998	-0.421476452975291	0.100840496256729	-4.1796348552496	2.91977534914626e-05	0.000253943833688728
GNG11	181.702548795703	-0.626358244887147	0.149926644962158	-4.17776469983198	2.94387969461776e-05	0.000255897399570652
TADA3	1822.90793725637	-0.316991555508983	0.0758808419309695	-4.17749128030706	2.947419594376e-05	0.000256062214286642
ZCCHC8	1452.76257828215	0.283506994743873	0.067879261734246	4.17663639085868	2.95851377110194e-05	0.000256882770415022
AKAP8	1429.2916637861	0.285382037161695	0.0683356675045094	4.17617984258166	2.96445479235414e-05	0.000257255221729807
UNC119	1011.34675183607	-0.381545510324482	0.0914072620072038	-4.17412689042598	2.99131008751421e-05	0.00025944118726731
