gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GPATCH4	2347.18277411174	-0.720333429593941	0.0656962174561554	-10.9646104065988	5.65435520999571e-28	1.02416152448957e-25
JUN	12035.4845369772	0.466024706916703	0.0424993821528142	10.9654466326364	5.60232558933125e-28	1.02416152448957e-25
C10orf10	335.822307880989	1.15974671627267	0.10587033479392	10.9544068083865	6.3291670321793e-28	1.13321189494548e-25
NOTCH3	1431.90267026975	0.793845675405898	0.0726189089909198	10.93166623455	8.1340935864173e-28	1.43982699767753e-25
NELF	2022.4569156043	-0.742840572294785	0.0682300742069656	-10.8872895263383	1.32525913394762e-27	2.31950129544967e-25
TSC22D3	9676.27608467123	0.537796403842723	0.0495756962680029	10.8479848862925	2.0387042841883e-27	3.52854407053346e-25
AGPAT3	1873.50627762369	-0.634866166255005	0.0587898340381339	-10.7989106729439	3.4831129198635e-27	5.96014104475234e-25
CTH	651.375817679478	0.909594024128346	0.0842377404822046	10.7979394855742	3.52014493238246e-27	5.96014104475234e-25
PLA2G16	518.140744548912	0.98925499519324	0.0918503354872034	10.7702926717242	4.75487292050343e-27	7.96415650351419e-25
HIST2H2BE	805.86137009858	1.0386973798504	0.0965102555895355	10.7625596213117	5.17134936076406e-27	8.56958606304486e-25
ICMT	6466.705193165	-0.491780317050834	0.0458138353531924	-10.7343188637134	7.02349892822592e-27	1.15163202952605e-24
AGRN	1766.29154420093	0.83140054206557	0.0774816982651636	10.7302829013929	7.33712057196796e-27	1.19052424114109e-24
ATPAF1	3214.46482569443	-0.539185696268574	0.0503089415356617	-10.717492354443	8.42567576446459e-27	1.35305929260892e-24
SHMT2	2787.38166871906	0.724931146385395	0.067655389696068	10.7150538876805	8.65068670491476e-27	1.37501782451487e-24
ABL2	1755.78005845498	0.701824911532463	0.0656941671732692	10.6832149904784	1.21972843223155e-26	1.89997097888709e-24
GUSB	1168.0643808796	0.678862421546063	0.0635407868539111	10.6838844017916	1.21096182796271e-26	1.89997097888709e-24
LPPR3	162.361839170674	1.81554136092977	0.170336712571975	10.6585440890355	1.59067985641938e-26	2.45326931915294e-24
IDS	2825.61958126317	-0.56910564216577	0.0536637199041944	-10.6050352674357	2.82357443650741e-26	4.31204107818391e-24
MDFIC	782.021798775864	0.901034704678835	0.085062474621217	10.5926227598144	3.22429009628102e-26	4.87619095434655e-24
ERAP2	418.986786223063	1.14165208829761	0.10786934757812	10.5836561908453	3.54835621817314e-26	5.31468700100799e-24
KLHL24	1280.98596099549	0.738592258821697	0.0698274193636943	10.5773958933633	3.79355378326499e-26	5.62782736018274e-24
CERK	2190.93887232119	-0.592596714897581	0.0560961579673216	-10.563944775733	4.37865350734435e-26	6.43455525319839e-24
ZNF503	4468.10500660893	-0.681191960255556	0.0645476981216756	-10.5533114282631	4.90377144071325e-26	7.13888296560657e-24
ELK4	2046.27009933773	0.783878032035827	0.0750198409019519	10.4489428744634	1.48167504044177e-25	2.1370418615705e-23
ATP6V0A1	2961.05464005869	-0.527315262537051	0.0505222105600404	-10.4372959277067	1.67514443042796e-25	2.39391970575929e-23
AHNAK	1304.73763936323	0.90255692370822	0.0867311019234137	10.4063813752212	2.3186843367025e-25	3.28346781025589e-23
RCC1	4361.86437559624	-0.52905054343421	0.0509352516673007	-10.3867267975795	2.84965186432254e-25	3.9990114495993e-23
HSPB8	603.467300781411	0.857600877673508	0.0829163105990265	10.3429695735109	4.50361474346091e-25	6.2636434695438e-23
NCOA5	1221.25943762595	-0.697137146144346	0.0677182181407881	-10.2946764590731	7.44694972201208e-25	1.02655872406887e-22
PYGL	2561.5556105607	0.595122652541289	0.0578163444789594	10.2933289522977	7.55193856772887e-25	1.03189953569748e-22
FNDC3B	1393.96442821639	0.61962233192011	0.0603202291505316	10.2722144899983	9.40212522684027e-25	1.27353830137818e-22
INHBE	151.415056115686	1.80136927680052	0.175452884517682	10.2669687178553	9.92750550374421e-25	1.33310994165365e-22
