gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
C1orf144	6735.14575104477	-0.451410500484126	0.0505905460819452	4.03486268369778e-20	3.14255280119802e-18
DCHS1	157.08657066648	1.31610006448912	0.151023548887019	4.17418388395467e-20	3.23488867464487e-18
ATP6V0D1	1219.89317471255	-0.642343406208964	0.0744194379352558	4.56310237291882e-20	3.51878443876022e-18
TH1L	2930.56422476612	-0.495913631703354	0.0560506153491832	4.63740347235643e-20	3.55846472359094e-18
SETD8	1845.90570492088	-0.521021961585171	0.0591354485270015	4.68683137731267e-20	3.57876335119605e-18
C19orf63	3069.34083309352	-0.600843217969547	0.0691617062416424	4.81912483240322e-20	3.64405376283228e-18
SEPT2	12917.7118097413	-0.357913999838177	0.03972221459725	4.80852448763541e-20	3.64405376283228e-18
SLAIN1	1724.874439722	0.500239682926669	0.0566117816023842	4.85894012687097e-20	3.65641112832218e-18
DDB1	10470.3714958148	-0.397509386481984	0.0443619459120189	5.16452992135372e-20	3.86768666273687e-18
DPP9	2174.27049608875	-0.562419078684213	0.0643905146650575	5.33812861489806e-20	3.97856600163957e-18
NEFL	2969.25247532275	-0.45606598835003	0.0513612175455448	5.64102067394093e-20	4.18429423990371e-18
CABLES1	1060.48050143136	-0.601997883473918	0.0697655160940554	7.93334730056703e-20	5.85676544554183e-18
C12orf49	1318.17487609232	-0.542200944062614	0.062198181006134	8.12940434099224e-20	5.97319487828472e-18
BTG3	1516.90478189294	0.526187492382577	0.0603856489032055	1.03436121205909e-19	7.56443408462182e-18
CD24	870.473564561797	0.787790662126579	0.0940210576648618	1.08063375601652e-19	7.86590281190157e-18
ZNF211	798.478818938089	0.668459296194494	0.0789787593458815	1.41187421521039e-19	1.02291928606197e-17
TIMM10	648.306550442749	-0.701645035611848	0.0833986758544099	1.50589725205098e-19	1.08598895811102e-17
GNPDA1	2741.56543760483	-0.467804757911501	0.0534455626351153	1.51915729585904e-19	1.09050291233163e-17
PRSS12	480.167120883239	0.877488180186247	0.10532547533027	1.59836744216254e-19	1.14209952507183e-17
ZEB2	882.665500123145	0.605054619421538	0.0710011294558117	1.93033438657137e-19	1.37300542190056e-17
MAGED2	3158.28915916828	0.472512802747021	0.0543028850603425	2.26199733921408e-19	1.60159693422444e-17
EBF4	195.851070258298	1.20329324249185	0.141487865264638	2.49478734560856e-19	1.75842997658573e-17
EIF2AK3	840.727006418005	0.63751402974593	0.0756340287495983	2.79537348328641e-19	1.96142039410597e-17
PSMD2	4159.87566488786	-0.434469837419795	0.0499001849361271	3.35860723472737e-19	2.34605492804252e-17
ZNF585A	477.348311853324	0.827803421241272	0.100656327955182	3.67405739835268e-19	2.55494607563124e-17
KHSRP	10000.1301841673	-0.398575841205767	0.0456188153222275	3.77682857700488e-19	2.61474038862245e-17
DNAJC11	3430.98016623551	-0.495673972513049	0.0576449228189871	4.18100874038148e-19	2.86905608585561e-17
FAM83H	1503.40780680099	-0.58141196629663	0.0686522664618348	4.1759100199431e-19	2.86905608585561e-17
MYC	2712.35874784894	0.514961701143352	0.0601040191096268	4.28291716053089e-19	2.92609651796446e-17
ADD1	3887.54356596438	-0.412454137726978	0.0474234723402618	4.64348119114033e-19	3.15858107049751e-17
CCNB1IP1	2082.18101926062	0.466143000625597	0.0540353044147882	4.70301806192365e-19	3.18517010219933e-17
RRP1B	3587.06352499842	-0.444199131376496	0.0514312807181545	5.56224862256155e-19	3.75078557548231e-17
BRD4	3994.78227589546	-0.50627384847133	0.0592898590670942	6.14379239037783e-19	4.12507991659118e-17
ZNF850	685.300962648071	0.685733174955445	0.0829754507055515	6.30270981492128e-19	4.21361848871368e-17
CD3EAP	1116.45687516603	-0.644550929750693	0.0774787809846351	6.49679676626831e-19	4.32481210376758e-17
ZC3H7B	3531.0912944678	-0.450113993274774	0.0523607771767492	7.3883451556446e-19	4.89737244636068e-17
C9orf142	924.115045138871	-0.626674265875419	0.0752536103594817	7.6148256400288e-19	5.0261075845224e-17
PIP5K1C	1058.74657025477	-0.585131859938258	0.0698063071861737	8.32542919166682e-19	5.47194981091114e-17
LOC202781	695.002795193576	0.710534167270726	0.0867210774909944	8.82256979250305e-19	5.77433485957227e-17
ERO1LB	1004.61866229246	0.634399207375777	0.0765067036716073	9.28493734421345e-19	6.05152590003401e-17
SLC35B2	1690.4404074103	-0.531068242309744	0.0628761902864946	9.90458910687369e-19	6.42849102157381e-17
RAB31	2245.18420463233	-0.496663580653385	0.0585495917499907	1.12510346455521e-18	7.2589191433601e-17
RECK	302.756233786247	0.97224966817855	0.119152364010648	1.12772577049056e-18	7.2589191433601e-17
ARID1B	2003.91840682135	-0.476210610909429	0.0560063594953794	1.2189543322869e-18	7.81384840906711e-17
LMNB2	7235.96140959547	-0.433278924196913	0.0506763830407477	1.33892211400624e-18	8.54770072535867e-17
CSRNP3	529.525244495551	0.764698448332026	0.0945673797718388	1.40784490617299e-18	8.95102045039045e-17
C5orf41	752.31593434776	0.686303749485391	0.0840767445624362	1.46138015448954e-18	9.25362547418031e-17
CDCA5	2551.08517458399	-0.438408819314969	0.0514366846310215	1.59127584005647e-18	1.00353456520484e-16
MDK	1773.04112393206	1.26845197353277	0.153175517197873	1.69893563952189e-18	1.06710969584002e-16
MRPL36	838.069826897356	0.599552217296213	0.0725476100949065	1.85559971644363e-18	1.15875475572031e-16
SAMD4B	4016.25196483542	-0.456353892788091	0.053807804965677	1.85972067105398e-18	1.15875475572031e-16
RPS27L	668.268507121135	0.665946539112642	0.0816617470278137	1.97030329076464e-18	1.22276551236019e-16
GDNF	139.812819286073	1.27836606890087	0.154848095062981	2.0809881357975e-18	1.2863314361634e-16
AMOT	24418.1290244355	-0.363528778171979	0.0423727572717392	2.11779979359765e-18	1.30391175434271e-16
NACC1	2863.85197089924	-0.596045758676847	0.0723551540544426	2.42665108548866e-18	1.48818677002586e-16
SLC27A4	1222.8872626702	-0.622043612066969	0.0761117958777883	2.95252770983046e-18	1.80358918180506e-16
CSRNP1	793.884246769551	0.62977954499326	0.0772431556070163	3.13879007931832e-18	1.90988019787271e-16
VPS33A	1483.85584668216	-0.522016822301733	0.0627251641138251	3.19089044412735e-18	1.93402725479267e-16
HLA-B	1782.800769818	0.501850407301514	0.0601220531644302	3.34598070996861e-18	2.01401582519448e-16
NAP1L4	3771.12374844194	-0.388681757094088	0.0457360920303507	3.34871989937325e-18	2.01401582519448e-16
