	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
MEOX1	4.85209777160167	5.00312911442245	4.93588293952023	5.00256190217433	4.93697837441608	5.07616345590206	5.05987561187573	5.08790805102575
MEOX2	2.17327123695191	2.17506987178148	2.26522289257761	2.17777684566498	2.16340725093236	2.17771972079046	2.20142281724376	2.16058973879069
MEP1A	2.11987573307623	2.16836335346769	2.11386426103141	2.11592291678058	2.14550356149687	2.12430676333751	2.1392361013869	2.12894535064172
MEP1B	4.06987588570167	4.0905094013227	4.02029601049836	4.08730379512722	4.09297038480743	4.11548833108006	4.01098730880922	4.08550842159963
MEPCE	11.180160152939	11.1183849124813	10.8078427204913	10.8132178640624	10.6452469937951	11.0437605576699	10.965856092726	10.9823088720722
MEPE	0	0	0	0	0	0	0	0
MERTK	8.89365285983468	9.03365966594862	9.02816297458793	9.05631402535682	9.09378051362901	8.87927467780988	8.8345989801414	8.86615534462427
MESDC1	10.3587506383281	10.3138565110716	10.3368346273911	10.3931546625135	10.2697223155646	10.4800124789772	10.4374191612861	10.4251119452623
MESDC2	10.6675364982337	10.7050905163347	10.7488215488956	10.6913049562409	10.7135566656296	10.72612021793	10.7261492267702	10.6933254268507
MESP1	7.69785201896742	7.76484240445122	7.79955924821666	7.82381937885945	7.81673934991845	7.89378388084677	7.80945754970141	7.9461688094245
MESP2	4.1475440940724	4.2135261607096	4.2463003227017	4.27858278302407	4.28240783722753	4.24998785512424	4.25887744215637	4.281200014747
MEST	-1.73098197171514	-1.72960002128861	-1.7302730951177	-1.72471571783002	-1.72863774109886	-1.73009000710279	-1.72430756927181	-1.72899956042919
MESTIT1	-1.38748804823459	-1.38532063538391	-1.39297632911565	-1.39273888932789	-1.39090455816673	-1.38594138071703	-1.39222182065897	-1.39136293400995
MET	11.5818914278792	11.6344909781508	11.5193675830568	11.4559845359258	11.5732613485005	11.5675793228894	11.5133458790248	11.4914563625369
METAP1	11.1937551584746	11.231673056818	11.1448915955373	11.131073112415	11.1583950774097	11.1087601080114	11.0986929453906	11.0911890442794
METAP1D	7.71506308044041	7.68359537568522	7.47176305381775	7.45259613337508	7.46770029317716	7.62848280749737	7.67766812508114	7.67742667438363
METAP2	12.3996004531901	12.401361468987	12.3697372388536	12.3101884124239	12.3252544088486	12.4066041220003	12.3908221509135	12.3610529147636
METRN	6.96698100755416	6.93902940781638	7.14755307592566	7.22935494806561	7.0833022450076	7.11458791260631	7.00533038300791	7.15515961553529
METRNL	7.62297499787541	7.67401232840914	7.83646634984841	7.80237529126296	7.80255579088587	7.52215335087016	7.49377886928882	7.55215201458124
METTL1	8.74499196741854	8.72509147079343	8.36017307530703	8.39246817233703	8.26925963345175	8.69244922883258	8.66967862609746	8.63528491065038
METTL10	8.40150373883963	8.42899832342499	8.39009156397254	8.43284377586545	8.56974886955289	8.39169035309827	8.40721602352444	8.41992092015152
METTL11A	10.0269917075976	9.97755307417009	10.0289298884274	10.0847983567736	9.95619688506447	10.0425637544172	9.98338006761759	10.0659179763679
METTL11B	3.59379892340594	3.63495451189513	3.72225417992705	3.65870952397732	3.69015268821391	3.65081964265153	3.62357138105427	3.70555257281945
METTL12	3.73462209676058	3.71814013908206	3.72622647129716	3.69058221606554	3.66357819751323	3.68279321846665	3.68964020108404	3.71519774594971
METTL13	10.2204053623896	10.1043208117219	9.94286716746186	9.92038439842741	9.87989046786087	10.0658534744124	10.0225089088744	10.0692435674715
METTL14	9.93295086621001	9.91012547224478	9.79361788789351	9.69986279554761	9.83009292545862	9.77144433623752	9.81020809711059	9.75214999295494
METTL15	9.19837082227435	9.19588498533959	9.12962391458239	9.00535803493444	9.16028598933508	9.10700513054277	9.14161633180826	9.11871843060353
METTL16	10.9950138953043	10.9530579983702	10.8049376990064	10.7286421732857	10.7995613698238	10.85829417394	10.8114768165309	10.8372012361482
METTL17	10.7147163933122	10.6917071062555	10.6831346522884	10.7522701936356	10.6855680320119	10.7505014752305	10.7495939248067	10.8126204644082
METTL18	8.43877027611603	8.43752974098456	8.40806210609034	8.39953233198918	8.43725476866463	8.41117916139546	8.44440206761317	8.37061879524955
METTL19	8.59047367731528	8.60556316401166	8.39789335542215	8.38457955722587	8.33711042581329	8.29171414523391	8.42342505554384	8.37150610667967
METTL20	6.22189670735402	6.01484862866663	6.0290789748003	6.06457109663922	6.06901936326874	5.95452814561515	6.0850400377932	6.02417515588897
METTL21A	8.54831405386924	8.6274505592681	8.54376373726465	8.57367839142111	8.6000138402009	8.53919404315317	8.51094610496765	8.51598330884146
METTL21B	7.83094006194444	7.88001441816447	8.20340578500829	8.24798728125931	8.07451503324463	7.89070427518048	7.82674192630879	7.91481975836278
METTL21C	0	0	0	0	0	0	0	0
METTL21CP1	1.49093703399075	1.50082148848741	1.51979083874578	1.51401040143661	1.49675333160385	1.50554482245945	1.49070496779852	1.53865438840367
METTL21D	8.7521877158206	8.60397217732341	8.50793983936173	8.5831067649134	8.62563478096534	8.48621174473824	8.51548659460348	8.45541873947096
METTL22	8.3381873982794	8.31637027045782	8.4165078410156	8.4503281567834	8.36068429328652	8.4054766726493	8.3200143060301	8.4042221738998
METTL23	9.76547628272248	9.77070076584402	9.84431643845155	9.78673630360683	9.86174772599546	9.71901044021218	9.69814898180439	9.71772323220091
METTL24	2.11933708163154	2.10800194564043	2.11630561212465	2.10247542119338	2.11993822743424	2.13541946453838	2.11635954902234	2.12619557528533
METTL2A	10.153626188815	10.1002873689982	9.93217298883911	9.97364133982705	9.99457341232693	10.0072003034603	10.0514925420576	10.0086493423658
METTL2B	10.0178753593176	9.95858184583246	9.80991218794119	9.75786776016878	9.87953881184854	9.9447614491564	9.92701472927692	9.86476623786156
METTL3	10.8712238745426	10.8627943710876	10.9439144887014	10.9742620668543	10.9377640859846	11.0627874438116	11.0003427257884	11.0525210324818
METTL4	8.17041939643575	8.19993902040107	8.34723303274365	8.37599498167148	8.47510529044129	8.35845467168948	8.37199333694568	8.35363157882822
METTL5	9.93901291561479	9.95216415932789	10.0509774998617	10.0734465748732	10.1118364216821	10.035332720066	10.076470026379	10.0167852734494
METTL6	9.83423071305412	9.87334298865387	9.71268451221176	9.71847576267354	9.74115014585343	9.85598950026445	9.81001939000807	9.87059069315478
METTL7A	9.36803353106709	9.38739856450061	9.79672566867423	9.7931916643961	9.58374655064567	9.5438946279372	9.4913534716086	9.5621201547745
METTL7B	6.4042413530762	6.5026630607746	6.46250409590463	6.46979375502486	6.50876330154935	6.62002450704351	6.6094194420965	6.60518489969945
METTL8	9.59237436901095	9.61176614536399	9.54558330357328	9.47280744551463	9.57143470044742	9.56223483961713	9.53286673131193	9.5056447292304
METTL9	11.3241444038118	11.3132389973412	11.4111699218696	11.4081599759668	11.4990828298142	11.467470253715	11.4729038024569	11.4300939742758
MEX3A	10.6723771470228	10.6946964136539	10.7231114314925	10.7576711470947	10.741341943128	10.725757606668	10.7420682485616	10.8287791408893
MEX3B	9.77911400906192	9.74020830319317	9.86802866822303	9.91619538726261	9.93898949121334	9.72787601457642	9.74448009080096	9.72356574510037
MEX3C	9.99565596608119	10.042828988898	10.3333594705247	10.3102417254724	10.3017012857279	10.0983714156035	10.1356322953109	10.1482800528263
