gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ALDH1A1	34.80020427718	-1.62228826801181	0.382210094301227	1.22523934372897e-06	1.56567294973471e-05
DUSP2	64.6691579749468	1.03587615850123	0.245139406981388	1.42380951970674e-06	1.77999044048731e-05
TMEM154	35.1178509708954	-1.63368406296771	0.390850616196664	1.52669590736213e-06	1.88890723979189e-05
ITGB8	76.3938350730053	-1.08700101526401	0.259440210404028	1.56473677391271e-06	1.92679088752872e-05
FNDC5	53.0045157761354	1.14591144251462	0.274850977466732	1.72570791729282e-06	2.1016537072808e-05
NYAP1	71.6422441601765	-1.12287203493847	0.27378413660459	2.02910625270436e-06	2.4276027725327e-05
AGAP11	78.4651177345405	-1.06606536093344	0.259313712294915	2.08236904329299e-06	2.48022661570449e-05
FBXO2	91.6786624518688	-1.04494681708066	0.255188809358317	2.08264519056396e-06	2.48022661570449e-05
C9orf103	31.2409441765329	1.56395742592009	0.381216198594461	2.33420636399115e-06	2.72767685910654e-05
ARHGAP4	64.1969564705348	1.05186738876117	0.261836050256109	3.27489636034278e-06	3.70196375943828e-05
SLC2A4	77.4840570888372	-1.12078650144938	0.290128037940199	5.23210272132316e-06	5.61297962052692e-05
LOC100506776	62.9647641955364	-1.10757994192959	0.285913880953723	5.70582547804747e-06	6.07931897890188e-05
ST6GALNAC1	32.1220156015122	-1.71891777805087	0.448447509813361	6.30530243846413e-06	6.64981016140527e-05
MSH4	60.5213891080714	-1.05981601284557	0.277850416989003	7.46330192897737e-06	7.69396784564398e-05
CPA2	18.7880500433714	1.76191872946268	0.463358169797105	7.75516370218387e-06	7.96322906980343e-05
KCNN3	63.2058159526098	-1.15442455996634	0.307773232343737	7.7822742363847e-06	7.97529511711608e-05
IL11	48.9471594136314	1.17250896110512	0.31007908877276	8.57561396300531e-06	8.65731294243252e-05
SPAG17	38.7692645869496	-1.32271357327561	0.358127644795623	1.11065634425972e-05	0.000108741004868219
GUCA1B	65.1475206504305	-1.03147162900169	0.279824515672464	1.15110273001012e-05	0.000112207304288909
IZUMO1	37.6587949140691	-1.28673895965221	0.352179886289352	1.26329415200816e-05	0.000121494231933475
LPPR4	59.3892918279274	-1.08128612293208	0.301282233483562	1.62629297227365e-05	0.000151784096040184
GRIN2C	17.6415285515581	1.76733609337097	0.489455593592899	1.65453044462596e-05	0.000154142468516379
C8orf4	82.3998984050741	-1.01820322166235	0.283816865413979	1.67737492317891e-05	0.000155990860766315
MYOM1	38.3448576529663	-1.35309768976759	0.376494612063162	1.79112865855277e-05	0.000165147368224785
TMEM184A	46.6953623499703	-1.06135793089467	0.302099835087607	2.16222243632796e-05	0.000194687508038616
IRGM	33.57310735107	1.3356977320115	0.378883008716885	2.28552417918929e-05	0.000204254791389739
SYNPO2	58.7581977594296	-1.01941538414149	0.293416312111368	2.57147566697218e-05	0.000227590207184236
