	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YKL218C	3324.09355222275	4129.48474278346	1925.82069458878	1765.22190497183	2322.78505163707	2204.7885765477
YKL217W	176.490594419673	199.411738082099	217.167014496182	3385.97552104572	1277.70801398852	581.424084299272
YKL216W	3746.77166369917	4166.28095635813	15267.2508681655	2550.76822585444	841.524933351062	5797.34931760788
YKL215C	558.699525010047	535.32555877992	492.72327345596	1029.3365583979	883.821474503785	933.479034425437
YKL214C	644.13446243613	481.911700365072	514.2351003636	573.358521563741	660.002277570623	616.096162720789
YKL213C	2487.73048057793	2305.10473425855	2230.05938942541	3362.4994240998	3639.26489501559	3180.94093826116
YKL212W	4106.49771601952	3584.66338695201	3303.60198938767	2861.37504698503	2183.55893700935	2628.8547664724
YKL211C	4770.86676889867	4651.75358061753	4478.55748762881	1674.92922441061	1429.27061978578	2571.0679691032
snR64	5.6207195675055	9.49579705152851	15.3655906483148	1.80585361122438	8.8117794068174	18.6695806885087
YKL210W	4161.58076778107	4011.9742542708	5019.42627844949	6925.44859904551	5936.49578637288	6066.72469611351
YKL209C	2438.26814838389	2409.55850182536	2593.71170143553	446.045841972422	294.313432187701	633.876715757464
tT(CGU)K	8.9931513080088	16.6176448401749	15.3655906483148	9.02926805612191	8.8117794068174	3.556110607335
YKL208W	466.519724102956	542.447406568566	472.235819258207	839.721929219338	800.10957013902	691.663513126657
YKL207W	2859.8221159468	2741.91139862886	2893.85290543261	2358.44481625904	2276.96379872162	2735.53808469245
YKL206C	1076.92986913405	1042.16372640525	858.424330885851	1418.49801161675	1741.20761078712	1067.72220985233
YKL205W	1346.72440837432	1438.61325330657	1034.61643698653	853.265831303521	496.984358544501	595.648526728612
YKL204W	535.092502826524	430.871791213106	525.503200172365	617.601935038739	722.565911359027	889.916679485584
YKL203C	723.948680294708	801.207876222718	804.132577261805	891.188757139233	768.387164274477	698.775734341327
YKL202W	33.724317405033	29.6743657860266	55.3161263339331	31.6024381964267	71.3754131952209	72.9002674503675
YKL201C	538.464934567027	366.775161115289	685.305342914838	437.919500721913	778.080121621976	1158.40303033938
YKL198C	139.393845274136	142.436955772928	187.46020590944	135.439020841829	187.690901365211	227.59107886944
YKL197C	194.47689703569	180.420143979042	236.630095984047	466.813158501503	304.887567475882	384.05994559218
tN(GUU)K	26.9794539240264	32.0483150489087	13.3168452285395	5.41756083367315	1.76235588136348	7.11222121467
YKL196C	4861.92242589226	6003.7176858289	4768.45496452701	6457.73251373839	6414.97540816307	5575.98143230128
YKL195W	4936.11592418333	5817.36266869266	5281.66569218072	15725.3732465419	14184.321311154	9767.74681069741
YKL194C	536.216646740025	494.968421310924	552.136890629443	1184.63996896319	1299.73746250557	978.819444668959
YKL193C	779.031732056262	612.478909823589	791.840104743154	1870.86434122846	2564.22780738386	2233.23746140638
YKL192C	1667.10542372213	1427.9304816236	1691.23934402451	3455.50088507786	3909.78652280488	3370.30382810175
YKL191W	1018.474385632	777.468383593897	874.814294244053	256.431212793862	379.78769243383	342.275645955994
YKL190W	1701.95388504066	1522.88845213889	1606.21640910384	1944.90433928866	1972.95740918642	2356.81230501127
tL(UAA)K	0	2.37394926288213	2.0487454197753	0	0	0
YKL189W	495.747465853985	410.693222478608	597.2092898645	716.020956850468	982.51340386014	1046.38554620832
YKL188C	318.132727520811	283.686936914414	307.311812966295	587.805350453536	842.406111291744	1090.83692880001
YKL187C	115.786823090613	110.388640724019	129.070961445844	485.774621419359	1317.3610213192	1086.39179054084
YKL186C	1986.36229515644	2626.77485937907	1707.62930738271	1791.40678233459	1735.92054314303	1447.33701718534
YKL185W	1912.16879686537	1544.25399550482	1177.00424366091	2093.88726221467	2164.17302231435	2234.12648905821
YKL184W	698.093370284183	585.178493300445	777.498886804726	355.753161411203	273.165161611339	328.051203526654
YKL183C-A	29.2277417510286	48.6659598890836	62.4867353031467	27.0878041683657	18.5047367543165	26.6708295550125
YKL183W	692.472650716677	767.972586542369	910.667339090121	592.319984481597	451.163105629051	646.323102883136
YKL182W	9965.53579318725	12603.2966366412	8557.60961840143	18183.1400114183	12098.5731255603	5238.15092460445
YKL181W	6823.55355495168	7539.66285891364	5539.80761507241	3117.8062597789	1867.21605630461	2059.8770692988
YKL180W	11172.8663562874	8222.17327199225	9150.72141742638	3975.58672511048	2547.48542651091	3532.10686073549
YKL179C	1473.75267059994	1647.5207884402	2117.37839133777	1517.81996023409	1329.69751248875	1730.04781046848
YKL178C	33.724317405033	49.8529345205247	80.9254440811244	73.1370712545875	75.7813028986296	94.2369310943775
YKL177W	0	2.37394926288213	1.02437270988765	2.70878041683657	0.88117794068174	5.3341659110025
YKL176C	1016.22609780499	1082.52086387425	1035.64080969641	930.014609780557	704.06117460471	647.21213053497
YKL175W	1496.23554886996	1209.52714943844	1156.51678946316	1164.77557923973	1008.94874208059	953.03764276578
YKL174C	1483.86996582145	1600.04180318255	1692.2637167344	3442.85990979929	1655.73335054099	1305.09259289194
YKL173W	875.708108617357	782.216282119661	977.251565232818	1228.88338243819	838.881399529017	895.250845396586
YKL172W	5651.07145317003	5416.16524326558	4198.90373782948	1951.22482692795	682.912904028349	965.484029891452
