Geneid	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
tV(AAC)G1	5	3	5	4	19	11
YGL045W	520	325	543	2699	1635	1474
YGL044C	916	941	1068	956	1138	1255
YGL043W	1069	845	872	1121	926	1071
YGL042C	213	278	215	218	282	195
YGL041C-B	1	6	5	3	5	1
YGL041W-A	265	294	306	351	373	408
YGL041C	0	0	0	0	0	0
YGL040C	2879	3203	3185	6601	5957	4504
tL(CAA)G2	4	4	4	1	2	4
YGL039W	473	331	534	4293	3036	2003
YGL038C	915	644	2009	981	1450	1988
YGL037C	7606	9382	13269	27720	36215	40498
YGL036W	425	418	802	719	1488	1595
YGL035C	718	511	1206	310	710	1089
YGL034C	2	7	14	12	7	6
YGL033W	25	33	22	22	38	45
YGL032C	405	329	499	154	250	401
YGL031C	24173	27395	24168	9294	5918	9760
YGL030W	17416	17909	17127	6366	3268	5626
YGL029W	1605	1784	1543	733	218	366
tF(GAA)G	3	2	3	0	0	3
YGL028C	2948	2124	1701	1892	2026	2935
YGL027C	1472	1210	1748	1348	1227	1166
YGL026C	3467	3479	4337	3017	2624	3305
YGL025C	246	247	313	324	591	545
YGL024W	13	10	15	13	24	12
YGL023C	814	711	880	748	1091	1237
YGL022W	2427	2466	3399	2241	2760	2948
YGL021W	1520	1265	840	554	822	1195
YGL020C	2152	2425	2447	1416	1677	2070
YGL019W	2149	1795	1910	2096	2240	2497
YGL018C	217	136	176	631	804	541
YGL017W	539	489	673	749	748	819
YGL016W	482	559	647	380	342	378
YGL015C	5	12	1	10	15	5
YGL014W	1046	1040	1059	944	841	817
YGL014C-A	0	0	0	0	0	0
YGL013C	584	383	498	958	950	735
YGL012W	4026	4165	6991	3267	3039	6718
YGL011C	2740	1878	2477	5592	7060	5786
YGL010W	325	372	623	537	1349	1357
YGL009C	11734	11038	9307	7132	4605	1877
YGL008C	23687	18173	22950	18018	4987	9683
YGL007C-A	9	17	8	5	9	10
YGL007W	65	68	24	88	38	27
YGL006W-A	9	4	10	7	11	17
YGL006W	1065	1200	2101	3428	6077	4224
YGL005C	1053	1262	1297	1331	1385	1435
YGL004C	569	442	736	963	1335	1565
YGL003C	523	411	780	763	914	1049
YGL002W	1145	1153	1613	1581	1914	2027
YGL001C	3895	4727	2793	6526	5357	4636
YGR001C	1140	1020	1068	820	863	849
YGR002C	558	557	675	807	933	879
YGR003W	414	313	382	465	302	277
YGR004W	409	277	348	417	592	524
YGR005C	1862	1667	1795	2848	2952	2374
YGR006W	133	78	158	177	212	263
YGR007W	1247	882	1219	1797	1538	1313
YGR008C	3556	4545	5930	19915	23005	21787
YGR009C	1217	1067	1407	2395	2403	2659
YGR010W	670	593	574	948	803	882
YGR011W	83	86	82	137	183	110
YGR012W	706	660	680	827	1090	902
YGR013W	693	444	641	998	959	986
YGR014W	596	537	795	380	433	357
YGR015C	315	276	342	322	461	486
YGR016W	199	182	168	162	162	178
YGR017W	1508	1428	1838	1801	1234	1532
YGR018C	25	13	26	25	27	21
YGR019W	1831	1670	2301	7081	7701	6606
YGR020C	5725	5998	5700	4815	4161	4956
YGR021W	1221	1360	1246	4301	4277	2815
YGR022C	2	0	0	0	1	0
YGR023W	274	226	352	183	151	199
tD(GUC)G1	13	7	6	0	4	1
YGR024C	1530	1727	1952	1322	1125	1484
YGR025W	172	155	290	135	142	266
YGR026W	2238	1984	3375	1568	2557	3722
YGR027C	13311	13574	13518	5995	4459	6240
YGR027W-A	0	0	0	0	0	0
YGR027W-B	21	37	71	30	28	64
tE(UUC)G3	0	7	4	1	0	1
YGR028W	1206	1439	1346	4357	4041	2501
YGR029W	2290	2432	2329	2870	3164	2985
tD(GUC)G2	6	5	10	7	6	9
snR46	95	89	169	31	17	35
YGR030C	605	533	737	572	393	394
YGR031W	288	376	528	800	711	822
YGR031C-A	0	0	0	0	0	0
YGR032W	767	729	633	2668	3583	1502
YGR033C	1932	1954	2234	2159	2338	2543
YGR034W	19776	22073	20459	7450	4095	7415
YGR035C	33	58	347	16	99	356
YGR035W-A	194	199	210	678	583	326
YGR036C	361	301	496	1562	854	732
YGR037C	3225	2987	3740	9727	8779	6827
YGR038W	689	607	871	688	797	712
tS(AGA)G	0	1	1	0	0	0
YGR038C-B	17	21	15	20	19	21
YGR038C-A	0	0	0	0	0	0
YGR039W	89	135	80	87	112	29
YGR040W	534	376	515	395	263	217
YGR041W	718	585	586	522	784	946
YGR042W	634	794	842	1254	1387	1271
YGR043C	212	247	756	26058	28681	40935
YGR044C	2286	2019	1524	2433	3437	3629
YGR045C	40	27	51	63	84	70
YGR046W	1075	1034	1525	1498	1900	2290
YGR047C	619	554	808	734	631	719
YGR048W	1502	1677	2169	4485	4276	3816
YGR049W	951	740	437	2605	2060	1060
YGR050C	182	201	222	106	128	149
YGR051C	148	183	120	222	248	139
YGR052W	1390	1259	1814	2336	913	1667
YGR053C	187	265	368	773	1394	1122
YGR054W	1651	1085	1232	1635	1014	1087
YGR055W	2104	1637	1706	546	446	747
YGR056W	509	473	584	716	755	692
YGR057C	787	775	710	1182	827	842
YGR058W	360	245	371	534	449	438
YGR059W	21	15	17	18	44	90
snR48	21	9	6	5	8	21
YGR060W	8621	5980	3597	13618	10341	10957
YGR061C	2208	2352	1923	1068	744	750
YGR062C	681	669	806	1531	1556	1192
YGR063C	324	379	309	373	406	338
YGR064W	7	9	4	7	3	4
YGR065C	1817	1346	1329	717	387	525
YGR066C	81	69	117	330	548	441
YGR067C	29	20	62	70	171	275
YGR068C	110	85	235	84	176	373
YGR068W-A	0	0	0	0	0	0
YGR069W	28	37	21	23	35	28
YGR070W	450	410	486	1165	2437	2814
YGR071C	548	552	536	491	498	609
YGR072W	1040	1102	1223	1137	721	892
YGR073C	2	2	2	0	1	2
YGR074W	271	266	237	164	183	163
YGR075C	682	767	606	597	575	597
YGR076C	1100	1201	1099	2361	2734	1776
YGR077C	498	468	628	819	1093	1078
YGR078C	586	434	492	505	544	622
YGR079W	454	281	299	636	285	288
YGR080W	1165	996	1090	2329	3130	3037
YGR081C	1299	1190	866	660	250	313
YGR082W	1739	1398	1544	2079	2352	1956
YGR083C	1705	1513	1516	1388	956	1191
YGR084C	1721	1853	1591	4022	3370	2431
YGR085C	13684	13304	11681	5008	2065	3322
YGR086C	5969	4290	6295	7215	14453	12186
YGR087C	21	10	23	279	168	148
YGR088W	603	620	1602	5297	15951	21312
YGR089W	965	780	898	967	860	723
tT(UGU)G1	2	1	1	0	1	0
YGR090W	1630	1638	1662	1080	499	622
YGR091W	449	363	415	614	477	474
YGR092W	825	662	794	664	1360	1125
YGR093W	1041	1019	1021	893	602	832
YGR094W	7748	7816	9355	4125	2893	2888
YGR095C	1419	1335	1323	1335	644	746
YGR096W	345	248	274	307	252	236
YGR097W	1065	845	844	1611	1453	1335
YGR098C	570	561	517	425	440	374
YGR099W	674	697	541	516	667	544
YGR100W	1101	973	1189	2257	2673	2532
YGR101W	940	1200	1189	3086	3186	1979
YGR102C	370	298	397	805	1639	1652
