Geneid	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YML009C	1442	1683	1305	3571	3210	2950
YML008C	5235	4033	3024	5787	5906	5256
YML007C-A	39	13	41	48	43	49
YML007W	2378	1865	2174	5350	4904	3659
YML006C	755	813	1064	1737	829	729
tS(AGA)M	4	2	2	0	0	2
YML005W	584	533	590	870	918	869
YML004C	3199	3711	4431	9549	12854	18205
YML003W	60	39	118	123	95	144
YML002W	480	526	608	902	1130	1077
YML001W	3788	4671	4350	3201	3550	3639
YMR001C	1563	1420	1386	413	685	1066
YMR001C-A	53	36	56	7	8	31
YMR002W	4930	4664	4769	11167	8752	6462
YMR003W	689	875	601	354	488	305
YMR004W	806	597	859	1542	1954	1639
YMR005W	1773	1443	1447	1694	1766	1722
YMR006C	666	463	537	2133	1470	1388
YMR007W	63	117	88	173	188	76
YMR008C	1860	1416	1594	2589	2928	2589
YMR009W	1550	1728	722	1941	1032	720
YMR010W	665	641	760	438	587	566
YMR011W	1142	687	4196	455	466	332
tE(UUC)M	0	0	2	0	0	0
YMR012W	2795	2365	3222	4040	3495	2998
YMR013C	598	567	552	463	440	398
YMR013C-A	0	0	0	0	0	0
snR78	4	3	7	3	0	0
snR77	25	28	27	15	4	6
snR76	49	48	36	33	17	9
snR75	12	9	7	5	1	2
snR74	6	6	2	2	0	1
snR73	3	1	1	1	2	0
YMR013W-A	0	0	0	0	0	0
snR72	13	5	27	3	3	0
YMR014W	1267	1027	1100	863	400	392
YMR015C	3717	3593	1794	5396	4202	3687
YMR016C	1022	835	644	912	390	517
YMR017W	41	18	16	95	109	90
YMR018W	43	39	86	15	38	57
YMR019W	799	703	856	622	596	657
YMR020W	841	880	1211	3049	2500	2283
YMR021C	722	662	749	820	996	1081
YMR022W	1510	1647	1789	2605	3276	2888
YMR023C	386	477	652	962	965	913
tA(AGC)M1	0	0	0	0	0	0
YMR024W	1244	995	1059	2927	2782	1455
YMR025W	233	279	228	502	652	669
YMR026C	801	689	929	823	924	993
YMR027W	2183	1926	2999	5262	4662	5427
YMR028W	741	757	985	1285	1300	1266
YMR029C	1453	1652	1954	2509	3055	2833
YMR030W	283	218	419	301	587	579
YMR031C	2047	1560	3511	1973	5375	5644
YMR031W-A	5	2	5	1	1	7
YMR032W	799	557	812	240	475	854
YMR030W-A	22	17	29	16	26	29
YMR033W	1829	1880	2273	2243	1876	1830
YMR034C	100	87	257	269	455	354
YMR035W	426	570	616	975	1190	1192
YMR036C	343	213	372	291	617	577
YMR037C	757	531	812	731	833	1047
YMR038C	4387	4610	4101	4409	4799	4908
YMR039C	2425	2404	2620	2981	3156	2949
YMR040W	207	352	271	1722	2140	892
YMR041C	461	487	720	2174	2402	2024
tF(GAA)M	0	3	6	1	0	1
YMR042W	330	316	261	231	204	285
YMR043W	1553	1010	1137	1640	797	1317
YMR044W	1133	1003	1511	1436	1691	2125
YMR045C	276	262	422	454	272	285
YMR046C	0	0	0	0	0	0
YMR046W-A	1	0	2	0	0	0
tH(GUG)M	6	16	11	18	14	11
YMR047C	1229	1504	1806	1821	1827	1985
YMR048W	456	365	444	441	469	476
YMR049C	1354	1140	951	551	116	192
tV(AAC)M1	1	0	2	4	2	5
YMR050C	72	97	120	120	84	97
YMR051C	0	0	0	0	0	0
tW(CCA)M	0	0	0	0	0	0
YMR052W	149	154	210	304	205	246
YMR052C-A	24	10	24	36	45	31
YMR053C	130	126	265	297	521	654
YMR054W	1051	1010	1310	1363	1481	1320
YMR055C	195	99	146	216	241	246
YMR056C	275	329	369	870	1608	1366
YMR057C	5	12	15	12	32	19
YMR058W	7664	4704	6658	3768	1333	1829
YMR059W	446	606	493	431	418	434
YMR060C	734	649	930	1067	1290	1020
YMR061W	2004	1969	2333	1811	1939	2078
YMR062C	7148	5512	5951	3030	3844	3883
YMR063W	119	54	101	100	49	157
YMR064W	765	705	819	1119	1288	1220
YMR065W	318	277	450	365	451	506
YMR066W	524	483	777	768	792	734
YMR067C	623	353	478	1421	1652	1322
YMR068W	232	200	340	499	936	883
YMR069W	29	26	48	28	28	28
YMR070W	543	583	827	530	808	651
YMR071C	1802	2029	2042	1873	2976	2795
YMR072W	3953	3709	4516	4979	4980	5690
YMR073C	545	656	742	762	1030	1047
YMR074C	2877	3443	2691	3210	3437	3497
YMR075W	487	324	495	459	307	513
YMR075C-A	7	8	7	4	11	3
YMR076C	699	614	737	489	350	233
tV(AAC)M2	16	11	7	0	2	1
YMR077C	814	951	953	1115	1183	1117
YMR078C	594	588	537	378	385	268
YMR079W	906	639	847	1107	838	801
YMR080C	1337	1356	1435	1278	1146	1281
YMR081C	789	630	830	1781	1558	1131
YMR082C	0	0	5	3	7	6
YMR083W	4097	2615	3642	3373	4493	3857
YMR084W	40	20	84	20	55	114
YMR085W	134	138	278	101	415	356
YMR086W	713	486	699	1301	1433	1530
YMR086C-A	65	52	53	108	207	78
YMR087W	309	292	408	759	1283	1253
YMR088C	1285	1063	855	1341	1113	1018
YMR089C	1316	1539	1893	4142	3486	2395
YMR090W	998	1223	1583	15906	17974	16394
YMR091C	1286	1096	1356	1027	1298	1516
YMR092C	2398	2670	3682	4886	6045	7711
YMR093W	1235	857	799	602	179	349
YMR094W	265	251	160	271	189	125
YMR095C	785	750	343	742	379	352
YMR096W	3091	2256	1618	3012	2424	1844
YMR097C	866	839	955	1345	1387	1355
YMR098C	840	1008	864	1690	1573	1277
tD(GUC)M	1	2	7	1	0	1
YMR099C	3151	3080	3647	5739	5300	6152
YMR100W	921	897	1317	1583	1237	1264
YMR101C	32	34	41	73	55	98
YMR102C	1266	1343	2551	1487	1234	1388
YMR103C	334	421	376	1616	2375	1483
YMR104C	902	770	1061	3002	3134	3425
YMR105C	676	624	3804	11939	23513	24496
YMR105W-A	4	10	2	7	14	11
YMR106C	145	91	141	181	111	183
tK(CUU)M	10	31	16	6	4	5
YMR107W	50	44	158	6648	8816	4645
YMR108W	7933	6820	6626	5290	2410	1662
YMR109W	810	624	958	864	1251	1838
YMR110C	1528	1662	2415	7542	7883	7474
YMR111C	365	347	397	773	886	1065
YMR112C	794	1062	864	977	1063	1008
YMR113W	909	1043	971	1351	1240	1424
YMR114C	418	472	641	1471	2166	2190
YMR115W	727	636	760	1489	1891	1269
YMR116C	33027	32401	34599	10904	3970	9655
snR24	47	50	42	33	9	18
YMR117C	114	123	107	29	54	75
YMR118C	265	271	365	2720	2746	1567
tL(CAA)M	0	0	1	0	0	0
YMR119W	686	539	875	846	913	1082
YMR119W-A	24	33	40	38	90	55
YMR120C	870	592	622	771	445	783
YMR121C	654	549	817	1025	1481	1521
YMR122C	7	21	49	7	9	28
YMR122W-A	5212	5385	4839	7589	8918	8978
YMR123W	995	825	945	259	290	409
YMR124W	610	531	533	955	1056	1033
YMR125W	1841	1895	1916	1842	1440	1370
YMR126C	349	302	487	282	297	386
YMR127C	504	537	653	515	469	416
YMR128W	921	659	965	410	157	168
YMR129W	905	932	1051	853	697	618
YMR130W	1348	1614	1180	1842	1837	1199
YMR131C	4387	4205	3878	1978	304	601
YMR132C	643	783	305	525	385	237
YMR133W	128	131	281	811	1535	2044
YMR134W	773	693	489	1265	1039	629
YMR135C	1203	1223	1297	2487	2905	2519
YMR135W-A	2	10	7	16	5	5
YMR136W	665	734	696	2626	1767	1954
YMR137C	292	234	286	581	607	706
YMR138W	401	470	461	420	378	402
YMR139W	861	790	1280	1874	2941	2631
YMR140W	348	213	502	469	737	1013
YMR141C	69	108	105	141	343	196
YMR142C	13422	11249	13033	5443	3648	4980
YMR141W-A	174	152	131	170	73	82
YMR143W	18211	19332	18231	6826	4311	6137
YMR144W	417	359	400	152	250	244
YMR145C	6407	6112	6053	14125	4099	2082
YMR146C	5720	4079	3970	3662	3286	3426
YMR147W	125	75	157	74	62	169
YMR148W	227	163	328	257	423	637
YMR149W	2527	1866	2445	2087	2370	2252
YMR150C	859	981	974	1552	2085	1817
YMR151W	30	15	77	53	56	89
YMR152W	979	819	1196	2311	3515	3209
YMR153W	883	761	846	1014	791	831
YMR153C-A	16	10	8	30	28	21
YMR154C	238	197	183	416	391	371
YMR155W	546	496	594	726	978	1009
YMR156C	135	171	247	308	453	437
YMR157C	784	793	940	3237	2855	1566
YMR158W	1294	1443	1130	3328	3018	2095
tM(CAU)M	2	6	6	1	2	2
YMR158C-A	32	55	55	103	147	96
YMR158W-B	5	5	3	5	4	7
YMR159C	5	7	8	8	11	24
YMR160W	465	378	528	1046	1240	1078
YMR161W	1168	1220	1500	1336	1373	1425
YMR162C	607	524	596	853	1156	1079
YMR163C	308	334	301	280	405	263
tV(AAC)M3	0	0	0	0	0	1
YMR164C	301	210	290	306	344	285
YMR165C	472	322	456	992	1481	1302
YMR166C	211	186	242	558	719	483
YMR167W	443	425	409	677	385	373
YMR168C	537	519	525	631	444	435
YMR169C	135	140	577	16286	25351	36026
YMR170C	224	195	325	1675	2603	3121
YMR171C	1034	726	1078	2439	1121	1451
YMR172W	323	199	369	394	512	516
YMR172C-A	0	3	7	8	12	4
YMR173W	788	450	1209	1959	1963	2385
YMR173W-A	159	149	300	2610	3234	2484
YMR174C	166	174	166	9257	10351	9369
YMR175W	47	116	80	20311	18739	18104
YMR175W-A	7	7	3	1911	1796	1445
YMR176W	593	497	581	944	936	790
YMR177W	874	886	1214	332	284	345
YMR178W	1371	1553	1949	2426	2716	3132
YMR179W	491	350	392	303	390	374
YMR180C	389	329	415	1126	1463	1032
YMR181C	577	462	724	2807	2389	2113
YMR182C	168	97	147	322	443	400
YMR182W-A	23	35	30	61	94	89
snR83	108	154	136	86	118	93
YMR183C	2559	2090	2123	654	1030	1195
YMR184W	936	1110	696	2263	2636	1844
YMR185W	532	482	542	394	294	242
YMR186W	19640	19487	26036	17613	19929	23988
YMR187C	339	309	239	468	466	290
YMR188C	1851	2253	1751	4346	4257	2616
YMR189W	736	451	328	452	258	389
YMR190C	371	280	351	536	544	521
YMR191W	889	865	837	2922	2324	1437
YMR192W	508	497	512	740	884	715
YMR193W	1437	1508	1348	4150	3485	2418
YMR193C-A	213	212	283	182	121	155
YMR194W	4404	4102	4378	1900	868	1280
snR11	226	279	292	802	684	602
YMR194C-B	215	272	274	982	1047	1022
YMR194C-A	46	78	93	27	45	77
YMR195W	4108	4221	4251	7780	1259	3291
YMR196W	576	496	1078	6229	10113	10918
YMR197C	1110	936	1131	1859	2661	2328
YMR198W	403	360	403	237	310	373
YMR199W	1282	890	1328	575	784	545
YMR200W	2478	2150	2394	2739	3323	3522
YMR201C	389	338	438	827	1156	883
RNA170	15	12	20	36	54	53
YMR202W	9454	10325	5359	5912	5562	4189
YMR203W	1834	1449	1803	2883	2810	2103
YMR204C	253	201	290	156	369	508
YMR205C	5151	4647	5318	6717	2615	2988
YMR206W	48	46	107	368	684	659
YMR207C	493	454	531	849	688	476
YMR208W	2213	2054	1458	2651	2357	2039
YMR209C	950	932	939	224	384	658
YMR210W	837	751	1029	561	1160	1591
YMR211W	853	903	811	572	343	349
YMR212C	1477	1607	1704	1671	1485	1297
YMR213W	346	286	340	528	578	610
YMR214W	998	880	1078	1669	1578	1006
YMR215W	1574	1441	1541	282	527	356
YMR216C	725	567	906	978	713	923
YMR217W	5800	5206	5824	1795	225	494
YMR218C	611	585	688	809	756	683
YMR219W	566	484	664	1453	1513	1373
YMR220W	2379	2119	1966	2422	2107	2204
YMR221C	1145	819	898	531	526	697
YMR222C	439	359	380	576	851	922
YMR223W	463	493	701	522	351	462
YMR224C	312	217	336	455	519	547
YMR225C	924	919	1083	2077	1616	1492
YMR226C	6764	6834	5008	11884	10271	9206
YMR227C	628	569	572	834	784	844
YMR228W	780	816	705	1211	1061	818
YMR229C	2478	2556	2377	1093	402	344
YMR230W	12871	14611	12421	5744	3986	5562
YMR230W-A	11	26	46	3	7	5
YMR231W	396	332	482	558	526	554
YMR232W	40	58	71	62	116	116
YMR233W	998	1005	830	743	697	582
YMR234W	521	461	593	603	723	706
YMR235C	3936	3048	4211	2465	2449	3163
YMR236W	1480	1569	1317	1115	1614	1438
YMR237W	1094	924	1363	1630	2052	1823
YMR238W	2185	1891	1686	4072	3616	1952
tR(UCU)M1	7	12	8	0	6	2
YMR239C	1030	904	1087	442	141	264
YMR240C	718	667	738	1074	1071	997
YMR241W	5728	6013	5460	1963	1186	2057
YMR242C	11470	9023	11127	3142	1365	2513
YMR242W-A	47	17	29	18	16	17
YMR243C	3772	2791	3661	1774	1188	1870
YMR244W	40	52	30	31	18	23
YMR244C-A	72	49	44	162	220	113
YMR245W	117	114	78	228	197	195
YMR246W	2540	1711	1845	12137	5449	3620
snR86	638	844	994	548	512	501
YMR247C	844	951	962	891	876	778
tA(AGC)M2	0	4	2	0	0	0
YMR247W-A	17	8	66	42	53	100
YMR250W	801	939	2000	13273	19919	22335
YMR251W	149	75	174	135	156	193
YMR251W-A	9774	11217	9388	10058	13139	14280
YMR252C	253	254	345	325	630	618
YMR253C	522	452	607	659	734	1107
YMR254C	46	27	69	55	65	109
YMR255W	1592	1477	1463	2081	2301	1689
YMR256C	2392	2876	1620	3507	3568	2749
YMR257C	338	276	427	510	541	583
YMR258C	870	794	1012	2041	2862	2285
YMR259C	930	844	766	1093	461	506
YMR260C	6374	6203	6519	2525	1839	2820
YMR261C	1015	881	1794	1342	3210	2998
YMR262W	590	622	1158	581	1485	1510
YMR263W	1587	2076	1507	1792	953	1098
YMR264W	1919	2563	2299	2498	2739	3166
YMR265C	616	524	756	534	385	516
YMR266W	1543	1452	1963	1156	1055	643
YMR267W	1124	1105	1061	3385	3392	2360
YMR268C	335	208	294	235	228	243
YMR269W	561	563	522	354	246	244
YMR270C	1344	1430	1464	762	793	1059
YMR271C	1055	1291	784	3809	3462	4208
tQ(CUG)M	0	5	1	0	0	0
YMR272C	3396	2573	3042	5188	3795	4959
YMR272W-A	0	0	0	0	0	0
YMR272W-B	3	2	1	0	4	4
YMR273C	393	266	382	522	544	802
YMR274C	520	461	486	226	267	268
YMR275C	601	456	647	829	1071	881
YMR276W	1044	1616	1556	2930	3488	3830
YMR277W	1024	668	854	729	763	957
YMR278W	939	839	997	2288	2156	2119
YMR279C	126	85	97	169	419	399
YMR280C	142	109	127	580	860	671
YMR281W	479	386	748	666	944	796
YMR282C	943	1013	1111	1133	1137	1216
YMR283C	764	703	676	542	436	359
tY(GUA)M2	5	1	1	0	0	0
YMR284W	480	581	867	1029	1291	1421
YMR285C	738	666	922	701	778	906
YMR286W	1224	1376	1353	2193	2254	1948
YMR287C	553	541	572	1068	1061	798
YMR288W	436	364	475	478	460	460
YMR289W	1318	1303	1122	2167	1752	1952
YMR290C	1825	1254	1359	529	151	224
YMR290W-A	11	14	3	28	28	24
YMR291W	667	526	1129	679	987	1157
YMR292W	809	928	938	312	403	356
YMR293C	505	542	619	1276	1535	1178
YMR294W	785	795	668	656	788	830
YMR294W-A	206	244	246	435	460	286
YMR295C	3101	3077	2704	4860	4847	3711
YMR296C	1745	1169	1419	1411	1126	1289
YMR297W	7264	5787	7860	23662	24830	26728
YMR298W	938	805	903	971	1392	1348
YMR299C	652	759	674	794	742	800
YMR300C	728	756	874	725	706	866
YMR301C	638	624	600	484	330	355
YMR302C	1321	1406	1530	3681	3973	2927
YMR303C	212	227	242	152	105	106
YMR304W	537	520	801	1430	1648	1688
YMR304C-A	177	218	186	243	360	134
YMR305C	4212	3699	3692	4234	2925	998
YMR306W	115	130	163	248	174	120
YMR306C-A	4	8	1	14	13	7
YMR307W	11098	7827	10063	7191	2927	3721
YMR307C-A	0	0	0	0	0	0
YMR308C	2631	2411	2583	2028	1166	1467
YMR309C	2029	2119	1978	1681	564	711
YMR310C	511	310	316	313	123	158
YMR311C	2982	3137	3868	7455	8347	8123
YMR312W	534	415	495	410	377	415
YMR313C	727	508	1010	788	864	1035
YMR314W	5721	6152	5895	11077	10189	8889
YMR315W	2648	2524	3868	6894	7945	12280
YMR315W-A	4	24	16	86	77	19
YMR316W	2634	2991	2392	3532	2996	2287
YMR316C-A	10	17	18	17	44	13
YMR316C-B	3	6	4	8	5	6
YMR317W	204	146	201	372	373	532
YMR318C	3899	3504	4740	3209	2377	3447
YMR319C	2905	2833	2187	1512	1069	408
YMR320W	17	28	217	37	38	93
YMR321C	3	2	62	0	0	14
YMR322C	0	2	13	0	0	55
YMR323W	0	0	6	1	2	12
YMR324C	0	0	0	0	0	0
YMR325W	0	0	0	0	0	0
YMR326C	0	0	0	0	0	0
YBL113C	122	102	63	172	241	35
YBL113W-A	0	0	0	0	0	0
YBL112C	0	0	0	0	0	0
YBL111C	2	0	0	1	0	0
YBL109W	2	0	2	0	0	2
YBL108C-A	0	2	0	8	4	1
YBL108W	2	0	0	0	0	2
YBL107W-A	0	0	1	0	1	1
tL(UAA)B1	2	0	2	0	0	0
YBL107C	1149	1326	1092	3058	2247	1238
YBL106C	349	338	319	353	537	398
YBL105C	909	597	1093	1165	1153	1272
YBL104C	446	355	444	690	562	549
YBL103C	881	712	1027	799	818	977
YBL102W	2364	2562	2408	1247	2427	2748
YBL101C	231	202	315	577	915	712
YBL100W-C	13	9	7	38	26	29
YBL100W-A	0	0	0	0	0	0
YBL100W-B	114	132	82	219	182	135
tF(GAA)B	0	0	0	0	0	0
YBL100C	150	104	137	297	245	338
YBL099W	4345	3694	3848	9546	9813	10193
YBL098W	1262	1365	758	1138	1078	572
YBL097W	182	135	133	102	94	115
YBL096C	5	14	6	6	13	4
YBL095W	201	289	150	318	419	252
YBL094C	5	3	5	5	13	8
YBL093C	1758	1883	1969	4824	4418	3740
YBL092W	22094	20742	21877	8926	5974	8914
YBL091C-A	431	334	438	904	1508	1426
YBL091C	2050	1370	2306	2484	2883	3575
YBL090W	1530	1779	1460	3598	3649	2258
YBL089W	520	458	496	641	671	673
YBL088C	544	494	518	724	752	542
YBL087C	16030	18403	14966	5656	3607	6206
YBL086C	647	527	1054	415	1384	1657
YBL085W	1452	1084	1449	641	1139	1141
YBL084C	564	384	673	310	500	668
YBL083C	3	5	6	0	1	0
YBL082C	503	391	464	168	180	196
YBL081W	303	261	245	109	66	110
YBL080C	499	512	516	911	1213	951
YBL079W	1231	1245	1332	1179	870	898
YBL078C	438	414	686	2561	3267	2743
YBL077W	34	65	40	18	22	11
YBL076C	6534	5835	7627	3058	1623	2283
YBL075C	301	284	415	8263	14022	8075
YBL074C	59	60	94	104	76	124
YBL073W	2	4	4	11	2	13
snR56	12	20	30	5	8	16
YBL072C	12335	11454	11235	4864	2872	4881
YBL071C-B	12	4	4	10	8	4
YBL071W-A	184	145	163	247	90	122
YBL071C	170	122	96	162	98	119
YBL070C	6	4	7	11	4	3
YBL069W	478	456	565	2186	288	364
YBL068W-A	0	0	0	0	0	0
YBL068W	1072	953	785	608	433	387
YBL067C	682	586	700	849	878	688
YBL066C	243	186	236	484	446	551
YBL065W	2	0	5	15	30	20
YBL064C	1354	1202	2184	15740	19333	16060
YBL063W	411	455	468	427	486	386
YBL062W	3	4	1	3	5	2
YBL061C	785	598	756	433	435	511
YBL060W	405	335	343	576	625	592
YBL059C-A	941	1158	897	2969	2799	2320
YBL059W	260	324	219	558	623	516
YBL058W	2918	2218	3285	5039	5841	5872
YBL057C	2079	2252	2068	1680	1717	1739
YBL056W	3336	3049	4077	4401	4335	5010
YBL055C	1163	1235	1418	1104	729	728
YBL054W	657	513	481	569	158	112
YBL053W	2	1	6	0	2	4
YBL052C	480	431	576	362	301	514
YBL051C	649	513	606	698	619	905
YBL050W	2527	2613	3195	5256	6055	5379
YBL049W	202	230	213	2785	2766	1808
YBL048W	65	64	90	705	794	448
YBL047C	2169	2043	2332	4795	5480	4990
YBL046W	697	525	698	469	668	728
YBL045C	4980	5029	3750	10577	10515	10524
YBL044W	3	3	4	5	10	8
YBL043W	1185	1473	536	6886	2766	1223
YBL042C	1495	1106	600	1211	298	543
YBL041W	3749	2947	3276	7118	7323	6324
YBL040C	2240	2774	2436	2370	3141	2767
YBL039W-B	168	265	253	698	1012	936
YBL039C	2555	2583	2558	518	69	256
YBL039C-A	0	0	0	0	0	0
YBL038W	1992	2416	1888	4883	5062	3909
YBL037W	411	324	400	573	673	672
YBL036C	1770	2099	2087	2527	2092	2376
YBL035C	385	383	312	266	222	182
YBL034C	311	346	368	367	382	309
YBL033C	1358	1070	939	3114	3040	1979
YBL032W	1081	969	1457	1159	1551	1548
YBL031W	182	104	157	54	100	120
YBL030C	4147	3398	3088	7870	7167	7928
YBL029C-A	1089	1222	882	1506	2323	2155
YBL029W	720	645	357	661	1055	1239
YBL028C	2281	2642	1824	564	214	345
YBL027W	24142	20654	21445	8566	5837	9085
YBL026W	1774	2161	2197	2347	1933	1947
YBL025W	350	367	344	466	458	461
YBL024W	1966	1343	1104	1085	664	558
YBL023C	626	686	613	621	744	613
YBL022C	1966	1869	2144	6906	6122	4431
YBL021C	801	979	791	1164	1035	852
YBL020W	527	369	561	476	366	384
YBL019W	438	506	570	1028	1078	1044
YBL018C	1028	1147	928	516	439	417
YBL017C	1263	1450	1933	1796	2330	2100
YBL016W	1238	953	753	955	957	615
YBL015W	715	719	1069	3831	5161	5562
tI(AAU)B	2	4	2	0	0	0
tG(GCC)B	0	0	0	0	0	0
YBL014C	384	404	528	367	297	349
YBL013W	22	7	31	27	19	78
YBL012C	4	1	12	6	13	13
YBL011W	814	670	1147	1061	1935	1669
YBL010C	516	439	541	345	364	389
YBL009W	730	500	514	182	151	127
YBL008W-A	1	0	1	4	3	3
YBL008W	473	376	368	708	550	474
YBL007C	1851	1618	1856	2186	2414	2916
YBL006C	1310	1434	1590	1650	1831	2134
YBL006W-A	0	0	0	0	0	0
YBL005W	622	526	677	1474	1569	1244
YBL005W-B	449	545	753	1221	769	777
YBL005W-A	0	0	0	0	0	0
tS(AGA)B	0	2	0	0	0	2
YBL004W	1390	1652	1488	666	295	226
YBL003C	12244	14909	10558	2998	2199	1862
YBL002W	7035	6043	6470	1342	1088	1200
YBL001C	3013	3508	3328	7724	8196	8880
YBR001C	486	435	641	2614	3736	3722
YBR002C	1051	816	971	873	755	885
YBR003W	1187	890	1383	2928	3743	2684
YBR004C	819	842	900	1410	781	614
YBR005W	1187	1197	1418	894	1270	1008
YBR006W	1633	1809	3241	10042	6676	7772
YBR007C	569	497	408	447	447	443
YBR008C	485	424	307	385	428	352
YBR009C	11463	13622	10508	5476	7152	5259
YBR010W	11367	13436	10177	7849	7684	6444
YBR011C	6030	4274	6885	4849	5225	7419
YBR012C	0	0	146	0	0	95
YBR012W-B	53	62	135	122	85	143
YBR012W-A	0	0	0	0	0	0
YBR013C	1	4	237	0	0	737
tT(AGU)B	3	4	6	0	3	4
YBR014C	1875	2290	1978	3401	3511	3992
YBR015C	1606	1216	1471	1245	1374	1507
YBR016W	605	493	754	568	1471	1176
YBR017C	1325	1027	1294	1196	1075	1361
YBR018C	24	19	88	70	130	283
YBR019C	67	37	102	171	222	298
YBR020W	54	53	82	78	157	159
YBR021W	749	678	337	489	288	352
YBR022W	678	778	624	1496	1919	1672
YBR023C	1069	950	1002	802	850	708
YBR024W	602	670	936	3142	2874	2563
YBR025C	12648	10990	12930	5924	4246	5792
YBR026C	1234	1032	1500	6457	8388	7303
YBR027C	12	29	26	12	28	24
YBR028C	667	607	604	448	441	668
YBR029C	2731	1977	1710	555	368	598
YBR030W	731	559	719	318	166	237
YBR031W	7776	6400	11996	3607	2138	5167
YBR032W	33	41	66	53	104	68
YBR033W	251	232	248	882	1084	913
YBR034C	2923	2756	2700	3322	931	1009
YBR035C	4098	4134	4356	4376	4842	5494
snR161	3	15	8	7	10	4
YBR036C	2978	2901	3232	4548	5158	4474
YBR037C	658	676	824	2903	4571	3363
YBR038W	555	533	487	284	739	766
YBR039W	4913	4006	3701	8478	7035	8334
YBR040W	6	3	8	10	6	2
YBR041W	1349	1253	1525	1997	1722	1944
YBR042C	1075	1089	1069	1382	1409	1239
YBR043C	2542	2606	2669	1305	1373	1851
YBR044C	1074	1144	1317	2136	1954	1531
tV(UAC)B	0	0	6	2	2	1
YBR045C	180	226	155	343	577	401
YBR046C	469	506	1060	2416	2548	2977
YBR047W	756	826	1057	1109	808	863
YBR048W	9208	7642	9248	3011	1761	2935
YBR049C	1290	933	1138	662	847	937
YBR050C	40	40	146	222	166	257
YBR051W	1	5	12	8	8	4
YBR052C	2857	2998	4104	7916	10172	11152
YBR053C	1628	1718	2040	6659	6410	7633
YBR054W	7711	8485	8735	20224	6131	7884
YBR055C	698	522	568	593	546	689
tL(UAA)B2	5	10	6	0	1	4
YBR056W	1806	1960	2869	8498	11070	11216
tQ(UUG)B	3	3	0	2	4	1
YBR056W-A	23	25	20	58	57	26
YBR056C-B	0	0	0	0	0	0
YBR057C	964	824	1145	916	1504	1296
YBR058C	982	896	1154	1360	1020	1132
YBR058C-A	2348	2962	2486	1635	1901	2372
YBR059C	817	735	1030	1777	2666	2843
YBR060C	544	441	552	428	427	509
YBR061C	1102	818	783	531	366	418
YBR062C	968	1238	1023	5289	5661	4130
YBR063C	269	276	313	583	714	558
YBR064W	1	1	0	4	2	5
YBR065C	281	248	289	419	183	324
YBR066C	928	1170	826	598	2318	2054
YBR067C	2175	2152	4176	9022	7708	12162
YBR068C	8402	7163	6285	6586	3276	2767
YBR069C	3568	2874	3304	1447	411	955
YBR070C	790	752	804	384	563	355
YBR071W	1954	1623	791	1416	1984	1140
YBR072W	604	413	739	60229	72872	67385
YBR072C-A	15	13	6	5	17	5
YBR073W	1500	1389	1385	1815	1292	742
YBR074W	1050	1030	1148	780	730	918
YBR076W	85	76	114	135	195	89
YBR076C-A	161	129	116	185	235	171
YBR077C	488	450	579	830	938	817
YBR078W	8828	6821	7228	4788	4234	2909
YBR079C	3396	2379	2782	2023	973	1382
YBR080C	1229	836	1298	1998	2271	2047
YBR081C	841	697	874	898	693	834
tR(UCU)B	0	0	0	5	20	11
tD(GUC)B	0	0	1	0	0	0
YBR082C	9723	9459	8882	11345	11713	10794
YBR083W	745	409	555	328	220	282
YBR084W	2842	2916	3121	1441	409	532
YBR084C-A	17977	14447	14922	6498	4035	6117
YBR085W	86	88	175	40	49	56
YBR085C-A	4936	6319	4427	11028	15084	11699
YBR086C	2087	1752	1995	1870	3469	3572
YBR087W	1862	2055	1709	1130	1173	1033
YBR088C	397	349	358	94	75	63
YBR089W	1	1	1	1	0	2
YBR089C-A	1301	1435	1180	1886	1931	1163
YBR090C	38	54	61	62	51	27
YBR091C	610	770	503	730	901	613
YBR092C	3968	3283	2702	253	202	862
YBR093C	1897	626	465	309	397	402
YBR094W	608	430	651	1169	1146	1078
YBR095C	679	610	702	834	946	719
YBR096W	2031	2413	2292	1985	2318	2538
YBR097W	240	267	251	567	554	450
YBR098W	241	209	275	196	350	301
YBR099C	0	0	0	0	0	0
YBR101C	3140	4560	3972	4537	6395	4554
YBR102C	534	443	508	784	698	668
YBR103W	1051	990	1177	1203	1297	1228
YBR103C-A	0	8	10	4	6	3
YBR104W	3018	3223	2517	644	369	435
YBR105C	637	501	1269	4757	1435	2384
YBR106W	11675	12905	10713	12986	10669	9067
YBR107C	488	452	461	750	581	513
YBR108W	261	233	372	821	836	902
YBR109C	4188	3508	3767	5369	4657	4729
YBR109W-A	64	49	53	90	11	30
YBR110W	1285	1109	1388	1468	1097	1252
YBR111C	4294	5126	5356	12700	10651	10188
YBR111W-A	1101	1396	1223	1640	1677	1682
YBR112C	1104	964	1107	900	1065	1042
YBR113W	25	15	24	6	13	26
YBR114W	528	459	710	1767	1544	1332
YBR115C	2699	2493	2763	828	887	844
YBR116C	4	6	5	373	707	394
YBR117C	70	77	88	12376	17988	20906
YBR118W	12896	10057	13221	8880	8665	8926
YBR119W	996	835	931	1306	1583	1395
YBR120C	948	940	863	2094	2996	1626
