	WT_C_1	WT_C_2	WT_C_3	WT_E_1	WT_E_2	WT_E_3
YHR046C	10.5576029535313	10.4214915242215	10.0365194491947	10.0956296521612	8.71447497100488	9.06432694440022
YHR047C	10.1683378958533	10.3017836995358	10.3239338675043	9.80330989873	9.82758869796709	9.85462769063472
YHR048W	8.18546087186797	8.07834385078689	8.22959930288518	7.98660457469883	7.89018671959905	8.03495707887441
YHR049W	11.9933298186099	11.9255860845009	11.6312668498948	10.5598550741959	10.19888104414	10.2927890331337
YHR049C-A	7.37893834376409	7.42801753488758	6.9496158638541	6.38424798582501	6.14246623322907	6.24012621648527
YHR050W	9.74870924448529	9.63778440922096	9.87618490168977	9.4449477833453	9.51129126911287	9.34208602452498
YHR050W-A	9.20481597721014	9.31926765959934	8.96053416133646	9.27338556962252	9.21364893632722	9.32423562684803
YHR051W	12.1715898680638	12.3433342150741	11.7385057029705	12.3091474604257	12.1872896908775	12.176730524608
YHR052W	11.6926337686992	11.7714700109849	11.4747248208464	10.7194578232068	9.72233487106596	10.0733571130934
RUF5-1	4.49056290999436	4.67443028999508	4.79842290356998	4.50430697804416	4.38139619127938	4.7438713966956
YHR052W-A	0	0	0	0	0	0
YHR053C	0	0	0	0	0	0
YHR054C	5.31923133284226	5.42018190387487	6.64597171939978	5.32446630581804	5.05222763774885	5.26029744216094
RUF5-2	4.38364295866575	4.61236294837002	5.04569636438163	4.44616346183662	4.40430826163887	4.6566326490555
YHR054W-A	0	0	0	0	0	0
YHR055C	0	0	0	0	0	0
YHR056C	8.35903321319893	8.14773533740682	8.49046346567754	8.12446318196768	7.83588848666882	8.16732850590394
YHR056W-A	0	0	0	0	0	0
YHR057C	10.8577564030978	10.7634720597537	10.7244361373012	11.3791024075387	11.581721897052	11.4848325024195
YHR058C	8.76799203889348	8.70778194769749	8.82093310851558	8.92643036089516	8.73021655981209	8.77044050920538
YHR059W	9.71817822959711	9.61157376913948	9.32644709114109	10.1820312369085	10.3198034234265	9.6900308943383
YHR060W	10.3638749744118	10.5529176323516	10.324458076835	10.3107467851892	10.2434635470385	10.42144563377
YHR061C	7.57842048646993	7.40214700333089	7.57399733188737	7.47165942019044	7.6520531043664	7.46757511922133
YHR062C	9.13189909864472	9.10158110707166	8.69279278280783	8.4924307955338	8.02123353315713	7.83683639402313
YHR063C	11.6485184001801	11.7125147595095	11.5079066522277	11.2628358976235	11.0910413703237	11.1040477547207
YHR063W-A	5.91358524994833	6.30535802042042	6.03746229423462	5.08098971873258	5.08887157649271	4.97645766835502
YHR064C	12.3795512521336	12.2007375947761	12.3213076941824	11.6085426972298	11.074341686976	11.4837465254163
YHR065C	10.7610072830593	10.7119318929924	10.4343620232708	10.1369946581699	9.45354862270057	9.64838736597138
YHR066W	10.1910604180323	10.2481132553981	10.0821159232802	9.2584930368219	8.31185509537831	8.64518283843477
YHR067W	9.94935910649861	10.0293122481974	9.5315317516688	9.34848901742808	9.43311797116051	9.44141382933094
YHR068W	11.4526094929969	11.2646188535323	11.6699412394928	10.8340415137858	10.3671611706013	10.8152901668843
YHR069C	10.7141663725351	10.670923094444	10.3758751342569	10.1735251088309	9.8190839688106	9.90926430573909
YHR069C-A	-1.93290737216299	-1.97312305894893	-1.97616830265193	-1.97877672711639	-1.97928069928808	-1.97909738276608
YHR070W	8.10486815825264	7.79266290375066	7.72975580646853	7.73643412834892	7.14439730938181	7.3922849977507
YHR070C-A	6.50119931618895	6.56344718875032	6.23845472786768	6.21941528374292	5.97488281470228	5.76264867462151
YHR071W	11.948279709797	11.6604755525015	11.776081859872	11.4376391121493	11.6326927105643	11.6522054944015
tF(GAA)H1	3.0408476049312	3.13282252812367	4.5004550308519	2.29555582554481	2.29134054839795	2.57652830832208
YHR071C-A	2.7154932810418	2.66418662332731	3.08954231317639	2.64389433675698	2.63629459302268	2.97871987443036
YHR072W	11.0682744683488	11.1909494541505	10.7438509383214	10.7710255700012	10.7468436799087	10.7423439917326
YHR072W-A	11.7838949671109	11.9837542346048	11.6840625088007	11.0589605319043	10.9021844006146	11.0183688728853
YHR073W	10.4061974909242	10.2310056994475	10.4454225129556	10.7162849783166	10.6051765005979	10.5313394822362
YHR073W-A	0	0	0	0	0	0
YHR073C-B	0	0	0	0	0	0
YHR074W	10.5192367692337	10.501125426719	10.6056276310287	10.8395131300213	10.7840144775347	10.833197179694
YHR075C	8.73957206604691	8.70142623914674	8.96983758649396	9.49505760031522	9.96883311932527	9.94881913840556
YHR076W	10.2438633160008	10.3252582295835	10.3605770654717	10.5577666555389	10.5085426264077	10.4378930307802
YHR077C	10.7276438981571	10.5830955314223	10.5652703267113	10.5157521786679	10.2175635110735	10.35256224454
YHR078W	10.0506904070431	10.0888970911672	10.0768208661009	9.90052545967733	10.0290272095924	9.98402811567239
YHR079C	8.93249530174619	8.8766884980617	9.00206612281137	9.04329367979667	9.07833261768639	8.92566374467419
YHR079C-A	3.11269255745719	3.20766386205518	3.29567269912821	4.21984498243729	4.15749164691696	4.09165589576411
YHR080C	9.87500324868311	9.80636299480959	9.90986078476414	10.1775597902257	10.5590109426526	10.8071459591652
YHR081W	10.4494437209632	10.6417165592973	10.434473593735	9.41556964085339	9.34779334695586	9.55917310393632
YHR082C	10.1911045543893	10.206693535042	10.585806996452	10.4098919520892	10.6246504873517	10.7155184550406
YHR083W	10.3508890866769	10.1625973730833	10.4392940630351	10.3173224670149	10.4510758411898	10.6220149966792
YHR084W	8.96474938386112	8.92750712315213	9.02487681053774	8.51108494029329	8.27220685912186	8.68657732251327
YHR085W	9.70899303138269	9.92484808760216	9.5301322684132	9.07928766160402	8.31301418112232	8.46413131495356
YHR086W	9.20469126784855	9.10581086077827	9.29600405392199	9.34718573460592	9.44945821065664	9.50241879820516
YHR086W-A	1.80086498498435	2.12441141734516	2.42689911282969	1.6968577734936	1.84263954908299	2.14628319598632
YHR087W	11.0908746688042	11.1845252038327	11.5627296660186	12.1803191507348	12.9408876131757	12.868338035805
YHR088W	10.187198238991	10.0930672287162	9.90392591840437	9.24525807778072	8.26728844017683	8.49795892580063
YHR089C	12.2215355832835	12.3019103954708	11.9424312734598	10.8653481920339	10.2561397331162	10.6224209453358
YHR090C	9.57535842846532	9.57898416857896	9.80005497882946	9.44710119573942	9.73945833169919	9.71280341069878
YHR091C	9.34783205290774	9.20221445060037	9.32722872755772	9.57383468217566	9.6075970548312	9.54019511564925
YHR092C	12.765336043524	12.6015541328768	13.3183380395268	13.9740576902215	13.0573301836377	13.1627738748798
YHR093W	5.64004001912189	5.92111145618383	5.64413223849439	6.95733012203705	5.52484650874502	5.48136483470352
YHR094C	12.6778586527567	12.4464113558452	12.7442307824957	11.7595382938948	11.0382589741409	11.1248676937139
YHR095W	3.05738799502624	2.31834399167793	2.73604647718991	2.40008251730375	2.39319085557338	2.39568981902169
YHR096C	9.23058331511703	9.16652070814272	9.46567138195702	10.6912129742307	11.9907554460197	11.5993804733248
YHR097C	10.0413764507801	9.9940955100092	10.4191460706256	10.8167606735525	12.0210766778463	11.7291076718274
YHR098C	10.9702905330856	11.0399286683205	10.9828589880744	11.2207154291621	11.1251007332105	10.8786025032738
YHR099W	9.77205637989361	9.85342431194651	9.83866140606244	9.65038983093119	9.56616185408698	9.48089538814636
YHR100C	8.81482268375382	8.66461759283759	8.33636175669828	8.43678268198363	8.466839082862	8.50743444966898
YHR101C	8.53860118222501	8.27607379747424	8.47075580494147	8.24016695485167	8.64170434244325	8.70238558236001
YHR102W	9.16227634977219	9.0217250859202	8.8853713402005	9.61866090612556	9.35650103710231	9.20395958367332
YHR103W	10.4079983283544	10.4136723991427	10.5239278436867	10.0455746665502	10.3503874892631	10.3487151052221
YHR104W	11.8844289912022	11.8156166765136	11.9765856344088	13.1952076195834	13.5555786344086	13.5429950918295
YHR105W	6.89730979261572	6.82363731138819	7.19829426873529	7.65321690217361	7.58104720203794	7.91118770828058
YHR106W	10.1945659056027	10.2709186103458	10.2736229671727	11.1167010759409	11.0721808547605	10.9056231089476
YHR107C	10.5569696422264	10.3007100254399	10.1830222700998	10.1319458648216	10.3384814625706	10.2313656097014
YHR108W	10.8656833467827	10.528214303438	10.660754901152	10.5733597557334	10.5907668552654	10.5232040582795
YHR109W	8.09834762832447	7.79730354127581	7.62016362747772	8.70545049838846	8.45444412717397	8.0943101344914
YHR110W	10.4810244092346	10.4665549108878	10.514205631004	10.3484218852343	10.6517000378261	10.7061155962294
YHR111W	10.0898147770491	10.0847146368229	9.91629279131818	10.3090443582015	10.2077983182548	10.1243860936001
YHR112C	10.2431494113491	10.2681102269094	10.0449733571475	11.0016168595226	10.8691947414037	10.7582899459779
YHR113W	10.4086667826793	10.2693020950803	10.5834524743262	10.9043714397479	11.0173371220758	11.1359874199546
